District,Rural/Urban,Total Number of households,Total Number of Livable,Total Number of Dilapidated,Latrine_premise,Households,Households_Rural,Households_Urban,Households_Rural_Livable,Households_Urban_Livable,Households_Rural_Dilapidated,Households_Urban_Dilapidated,Households_Rural_Toilet_Premise,Households_Urban_Toilet_Premise
Kupwara,,100,58.1,8.3,48.9,181664.0,,,,,,,,
Kupwara,,100,57.3,7.9,50.9,181664.0,,,,,,,,
Kupwara,,100,49.5,4.8,70.2,181664.0,,,,,,,,
Badgam,,100,46.3,3.9,83.3,187839.0,,,,,,,,
Badgam,,100,44.7,3.8,84.3,187839.0,,,,,,,,
Badgam,,100,33.8,2.6,90.4,187839.0,,,,,,,,
Leh(Ladakh),,100,51.5,2.1,88.1,54394.0,,,,,,,,
Leh(Ladakh),,100,52.4,1.8,90.4,54394.0,,,,,,,,
Leh(Ladakh),,100,54.6,1.1,95.8,54394.0,,,,,,,,
Kargil,,100,73.3,3.5,96.8,48144.0,,,,,,,,
Kargil,,100,72.6,3.2,96.9,48144.0,,,,,,,,
Kargil,,100,68.8,1.2,97.5,48144.0,,,,,,,,
Punch,,100,59.5,2.4,13.7,147408.0,,,,,,,,
Punch,,100,56.9,2.3,18.7,147408.0,,,,,,,,
Punch,,100,27.3,0.8,75.3,147408.0,,,,,,,,
Rajouri,,100,52.9,2.7,10.2,213578.0,,,,,,,,
Rajouri,,100,51.0,2.6,14.3,213578.0,,,,,,,,
Rajouri,,100,18.6,1.7,85.5,213578.0,,,,,,,,
Kathua,,100,36.7,3.5,14.2,214847.0,,,,,,,,
Kathua,,100,35.3,3.4,22.1,214847.0,,,,,,,,
Kathua,,100,27.0,3.1,67.1,214847.0,,,,,,,,
Baramula,,100,46.1,5.3,74.3,259475.0,,,,,,,,
Baramula,,100,44.0,5.2,77.6,259475.0,,,,,,,,
Baramula,,100,34.0,5.0,92.5,259475.0,,,,,,,,
Bandipore,,100,53.7,7.4,70.1,98076.0,,,,,,,,
Bandipore,,100,50.0,6.9,74.0,98076.0,,,,,,,,
Bandipore,,100,31.0,4.3,94.3,98076.0,,,,,,,,
Srinagar,,100,38.4,6.3,88.7,262239.0,,,,,,,,
Srinagar,,100,23.5,2.2,97.9,262239.0,,,,,,,,
Srinagar,,100,23.2,2.2,98.1,262239.0,,,,,,,,
Ganderbal,,100,47.4,9.5,69.5,77346.0,,,,,,,,
Ganderbal,,100,43.5,8.8,72.8,77346.0,,,,,,,,
Ganderbal,,100,22.0,4.5,91.3,77346.0,,,,,,,,
Pulwama,,100,43.0,4.6,62.7,169223.0,,,,,,,,
Pulwama,,100,42.9,4.4,66.3,169223.0,,,,,,,,
Pulwama,,100,42.4,3.0,91.1,169223.0,,,,,,,,
Shupiyan,,100,33.2,5.9,59.0,80888.0,,,,,,,,
Shupiyan,,100,33.3,5.7,61.1,80888.0,,,,,,,,
Shupiyan,,100,34.4,3.3,94.8,80888.0,,,,,,,,
Anantnag,,100,43.3,5.1,50.8,277733.0,,,,,,,,
Anantnag,,100,39.8,4.7,56.6,277733.0,,,,,,,,
Anantnag,,100,28.5,3.1,75.5,277733.0,,,,,,,,
Kulgam,,100,49.0,4.7,41.7,121130.0,,,,,,,,
Kulgam,,100,47.7,4.6,44.9,121130.0,,,,,,,,
Kulgam,,100,42.0,4.2,58.5,121130.0,,,,,,,,
Doda,,100,60.0,1.6,24.0,133617.0,,,,,,,,
Doda,,100,57.2,1.7,29.3,133617.0,,,,,,,,
Doda,,100,23.7,2.9,93.4,133617.0,,,,,,,,
Ramban,,100,51.5,2.1,17.8,89622.0,,,,,,,,
Ramban,,100,50.3,2.1,20.1,89622.0,,,,,,,,
Ramban,,100,19.3,2.4,82.7,89622.0,,,,,,,,
Kishtwar,,100,52.0,3.4,20.0,78371.0,,,,,,,,
Kishtwar,,100,49.8,3.3,24.2,78371.0,,,,,,,,
Kishtwar,,100,13.5,0.7,93.4,78371.0,,,,,,,,
Udhampur,,100,44.7,2.0,7.4,183360.0,,,,,,,,
Udhampur,,100,39.9,2.0,19.3,183360.0,,,,,,,,
