District,Households_Rural,Households_Rural_Livable,Households_Rural_Dilapidated,Households_Rural_Toilet_Premise,Households_Urban,Households_Urban_Livable,Households_Urban_Dilapidated,Households_Urban_Toilet_Premise
Kupwara,158438,92052,13150,77476,23226,11496,1114,16304
Badgam,160649,74380,6265,133820,27190,9190,706,24579
Leh(Ladakh),36920,19013,775,32526,17474,9540,192,16740
Kargil,40370,29591,1412,39078,7774,5348,93,7579
Punch,132139,78622,3171,18103,15269,4168,122,11497
Rajouri,196070,103721,5293,19999,17508,3256,297,14969
Kathua,181374,66564,6348,25755,33473,9037,1037,22460
Baramula,210543,97060,11158,156433,48932,16636,2446,45262
Bandipore,80521,43239,5958,56445,17555,5442,754,16554
Srinagar,4518,1734,284,4007,257721,59791,5669,252824
Ganderbal,63788,30235,6059,44332,13558,2982,610,12378
Pulwama,147520,63433,6785,92495,21703,9202,651,19771
Shupiyan,75616,25104,4461,44613,5272,1813,173,4997
Anantnag,207067,89660,10560,105190,70666,20139,2190,53352
Kulgam,95952,47016,4509,40011,25178,10574,1057,14729
Doda,122267,73360,1956,29344,11350,2689,329,10600
Ramban,84281,43404,1769,15002,5341,1030,128,4417
Kishtwar,72378,37636,2460,14475,5993,809,41,5597
Udhampur,148664,66452,2973,11001,34696,5898,624,26056
Reasi,95572,52469,1433,8601,12261,4843,134,9661
Jammu,254566,97753,12473,62623,248043,56057,8433,210588
Samba,94247,28745,3110,24504,19989,3558,219,14132
Chamba,186395,70830,4287,90960,13836,2573,96,12037
Kangra,588321,148845,8236,378878,39007,7411,624,32102
Kullu,167995,46198,2015,91053,20709,3189,269,18762
Mandi,431129,120716,6898,353525,31696,5483,221,29160
Hamirpur,196116,42361,1961,174739,15232,2619,91,14059
Hamirpur,196116,42361,1961,174739,55300,9511,331,51041
Hamirpur,196116,42361,1961,174739,15232,5651,243,10464
Hamirpur,196116,42361,1961,174739,55300,20516,884,37991
Hamirpur,256081,55313,2560,228168,15232,2619,91,14059
Hamirpur,256081,55313,2560,228168,55300,9511,331,51041
Hamirpur,256081,55313,2560,228168,15232,5651,243,10464
Hamirpur,256081,55313,2560,228168,55300,20516,884,37991
Hamirpur,196116,99038,2941,49029,15232,2619,91,14059
Hamirpur,196116,99038,2941,49029,55300,9511,331,51041
Hamirpur,196116,99038,2941,49029,15232,5651,243,10464
Hamirpur,196116,99038,2941,49029,55300,20516,884,37991
Hamirpur,256081,129320,3841,64020,15232,2619,91,14059
Hamirpur,256081,129320,3841,64020,55300,9511,331,51041
Hamirpur,256081,129320,3841,64020,15232,5651,243,10464
Hamirpur,256081,129320,3841,64020,55300,20516,884,37991
Una,185091,46828,2591,108833,20126,4910,966,15013
Bilaspur,152458,41011,1981,104891,11987,2025,95,11207
Bilaspur,152458,41011,1981,104891,188174,31801,1505,175942
